epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6891,1.31854,2.75514,1.58705,0.36108,0.49954,0.32657,0.16729,1.45312,2.32829,2.14603,0.000473865,0.000473865,0.000473865
2,161.639,1.41144,2.19081,1.63942,0.42073,0.46435,0.38738,0.17549,1.74494,2.09074,2.3293,0.000940792,0.000940792,0.000940792
3,241.326,1.47777,2.00062,1.67233,0.51613,0.62149,0.5538,0.28793,1.518,1.71926,2.25264,0.00139829,0.00139829,0.00139829
4,319.701,1.44973,1.87458,1.65374,0.54221,0.37905,0.33801,0.15987,1.74225,2.33424,2.40763,0.00138656,0.00138656,0.00138656
5,396.76,1.41985,1.75401,1.62666,0.6812,0.79946,0.78155,0.47323,1.25285,1.1991,1.81234,0.00137241,0.00137241,0.00137241
6,475.372,1.37734,1.63766,1.59738,0.58685,0.62293,0.60537,0.35497,1.35614,1.63819,1.93997,0.00135826,0.00135826,0.00135826
7,554.158,1.34928,1.59645,1.57927,0.66748,0.71112,0.74732,0.45722,1.24894,1.39723,1.76464,0.00134412,0.00134412,0.00134412
8,635.456,1.30811,1.4524,1.53168,0.70047,0.74909,0.7593,0.4461,1.31865,1.24791,1.83833,0.00132997,0.00132997,0.00132997
9,713.389,1.29278,1.46445,1.53663,0.67343,0.79122,0.78931,0.52938,1.08254,1.1947,1.64008,0.00131582,0.00131582,0.00131582
10,793.088,1.26933,1.38983,1.51665,0.71189,0.64836,0.6596,0.44657,1.07305,1.44003,1.62042,0.00130168,0.00130168,0.00130168
11,871.577,1.23856,1.38302,1.49836,0.82576,0.85695,0.86612,0.57766,1.12201,0.94474,1.67565,0.00128753,0.00128753,0.00128753
12,949.575,1.22057,1.33957,1.47943,0.76078,0.82624,0.84738,0.58673,0.98979,0.97933,1.55171,0.00127338,0.00127338,0.00127338
13,1026.96,1.22277,1.31843,1.48701,0.82856,0.83416,0.91233,0.62341,1.04235,0.87415,1.58532,0.00125923,0.00125923,0.00125923
14,1103.75,1.19969,1.29008,1.45698,0.81746,0.84461,0.88534,0.62554,0.98638,0.85498,1.52739,0.00124509,0.00124509,0.00124509
15,1180.27,1.1646,1.24953,1.43798,0.79737,0.84852,0.88495,0.59874,1.06496,0.93396,1.61358,0.00123094,0.00123094,0.00123094
16,1256.44,1.16046,1.21023,1.43955,0.85228,0.88075,0.92257,0.64083,0.97228,0.75636,1.50975,0.00121679,0.00121679,0.00121679
17,1333.63,1.14151,1.19156,1.41545,0.88545,0.87437,0.89807,0.60415,1.05526,0.82139,1.56195,0.00120265,0.00120265,0.00120265
18,1409.29,1.12402,1.18322,1.4146,0.70108,0.86992,0.88996,0.6179,1.02403,1.0822,1.55394,0.0011885,0.0011885,0.0011885
19,1486.12,1.13044,1.16448,1.40869,0.77626,0.82861,0.83546,0.58591,1.00657,0.95003,1.59247,0.00117435,0.00117435,0.00117435
20,1562.26,1.1155,1.14061,1.40458,0.82437,0.86968,0.90757,0.6525,0.95799,0.78988,1.50398,0.00116021,0.00116021,0.00116021
21,1640.05,1.12893,1.14256,1.405,0.85431,0.86451,0.88171,0.63207,0.90196,0.8014,1.47457,0.00114606,0.00114606,0.00114606
22,1715.76,1.10172,1.11565,1.3908,0.85583,0.85462,0.91454,0.6462,0.9697,0.80412,1.51959,0.00113191,0.00113191,0.00113191
23,1791.48,1.08494,1.10696,1.37142,0.81845,0.90193,0.90889,0.6517,0.9296,0.76318,1.49145,0.00111776,0.00111776,0.00111776
24,1867.87,1.07488,1.08233,1.37148,0.86788,0.89847,0.92864,0.6641,0.90389,0.69938,1.46178,0.00110362,0.00110362,0.00110362
